date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-09-01 23:20:45,DondePlowman,RyanEvers_,0,0,2,"I remember the first time you came to Dean’s Office Hours. That was the first time we met. And now look at you- all successful and all! Best to you.",,,,1300936662713880577,https://twitter.com/DondePlowman/status/1300936662713880577
2020-09-01 23:03:57,DondePlowman,,3,11,175,"Wishing Phillip the happiest of birthdays. I am grateful for the leadership he provides in our athletic department and for our campus at large. I appreciate his support and friendship. Happy Birthday, Phillip!",,,,1300932435190976517,https://twitter.com/DondePlowman/status/1300932435190976517
2020-09-01 17:56:06,DondePlowman,mnewby60,0,0,8,"Just to be clear, I never had game, but I’m sure that surprises no one considering participating in this post-covid competition.",,,,1300854962965053449,https://twitter.com/DondePlowman/status/1300854962965053449
2020-09-01 16:35:18,DondePlowman,mattrussell_PhD,0,0,9,"Right back at you! Let’s do this.",,,,1300834628039847939,https://twitter.com/DondePlowman/status/1300834628039847939
2020-09-01 15:58:23,DondePlowman,,2,2,64,"Hey Vols, I am holding office hours this afternoon from 3-4pm in Hodges Library in Room 258. I look forward to meeting with our students, faculty, and staff! @UTKnoxville",,@UTKnoxville,,1300825339090710528,https://twitter.com/DondePlowman/status/1300825339090710528
2020-08-31 22:35:43,DondePlowman,Englishscope24,0,0,13,"This sounds good to me.",,,,1300562940781907969,https://twitter.com/DondePlowman/status/1300562940781907969
2020-08-31 22:19:12,DondePlowman,KC4UTM,1,0,24,"I want @RickBarnesUT to Coach my team. He’ll probably be busy but maybe Coach @Englishscope24 would be available. #UTSystemHoopsChallenge",,@RickBarnesUT @Englishscope24,#UTSystemHoopsChallenge,1300558785031761920,https://twitter.com/DondePlowman/status/1300558785031761920
2020-08-31 22:04:01,DondePlowman,KC4UTM,2,1,36,"I am definitely in!",,,,1300554965958701061,https://twitter.com/DondePlowman/status/1300554965958701061
2020-08-31 19:31:07,DondePlowman,,0,2,50,"Thanks to Dianna Glandon and her team for the Big Orange surprise that arrived at my office. As Volunteers, we will continue to light the way for others! Have a great start to the week, Vols!",,,,1300516485371244544,https://twitter.com/DondePlowman/status/1300516485371244544
2020-08-30 11:18:07,DondePlowman,mmcornelius,0,0,7,"Just ordered it. Thanks!",,,,1300030031809392640,https://twitter.com/DondePlowman/status/1300030031809392640
2020-08-30 01:37:02,DondePlowman,mmcornelius,2,4,122,"Maria, thank you so much for these words. I wish I had known Pat Summitt, but feel I do by reading everything I can find about her.",,,,1299883794963615744,https://twitter.com/DondePlowman/status/1299883794963615744
2020-08-29 21:25:38,DondePlowman,,20,28,504,"I am grateful for the student leaders who organized today’s event, especially for their effort that demonstrates their commitment to health and safety- an initiative our student-athletes practice every day. Every single attendee wore a mask. Thank you for your hard work!",,,,1299820530347003905,https://twitter.com/DondePlowman/status/1299820530347003905
2020-08-29 18:07:22,DondePlowman,,22,72,777,"We must work even harder to create a campus where everyone matters and belongs. Volunteers step forward in leadership and service. Let’s step forward and show the world what kindness, equity, and inclusion for all people can look like. #VolIsAVerb",,,#VolIsAVerb,1299770635149873155,https://twitter.com/DondePlowman/status/1299770635149873155
2020-08-29 17:43:28,DondePlowman,UT_President,1,7,194,"Thank you President Boyd for being there today.",,,,1299764619414822920,https://twitter.com/DondePlowman/status/1299764619414822920
2020-08-28 11:03:07,DondePlowman,,0,14,205,"I am grateful for the leadership we have in Coach Barnes & Coach Harper as they lead their teams through these uncertain times & work towards a season. Rocky Top is a special place & the resilience of our student-athletes inspires me. It’s great to be a Tennessee Vol. 2/2",,,,1299301478633439233,https://twitter.com/DondePlowman/status/1299301478633439233
2020-08-28 10:58:00,DondePlowman,,8,37,534,"This Big Orange Friday, I am thinking about the time I spent with our Lady Vols and Men’s Basketball teams yesterday. I’m inspired by their determination, competitive spirit, commitment to health and safety, and care for one another which was evident in our conversations. 1/2",,,,1299300193117106176,https://twitter.com/DondePlowman/status/1299300193117106176
2020-08-27 21:58:47,DondePlowman,UTKnoxville,7,9,200,"So proud of our students who are working hard to keep our campus safe and healthy by wearing their mask! We can do this, but we have to do this together. Keep it up!",,,,1299104098541858822,https://twitter.com/DondePlowman/status/1299104098541858822
2020-08-27 20:42:29,DondePlowman,,1,0,28,"Before Covid, I would have held a welcome reception for Deborah Crawford as our new vice chancellor for research. Instead, we had a conversation on zoom with our campus leaders and it was so fun! I enjoyed seeing our community get to know Deb. She is a great addition to our team!",,,,1299084894178484224,https://twitter.com/DondePlowman/status/1299084894178484224
2020-08-27 10:14:24,DondePlowman,tennalum,1,1,31,"These student leaders give their all for Tennessee everyday. Go Vols!",,,,1298926831765159936,https://twitter.com/DondePlowman/status/1298926831765159936
2020-08-27 00:47:26,DondePlowman,,2,0,88,"Loved catching up with former SGA student body president yesterday. She’s off to Northern Ireland as a George Mitchell Scholar. So proud of her. She’s going to change the world.",,,,1298784153098428416,https://twitter.com/DondePlowman/status/1298784153098428416
2020-08-26 10:31:33,DondePlowman,,0,0,47,"Looking forward to meeting with UTK’s Advisory Board today. Lots to share and discuss. Grateful for these board members giving their time to help us be better. Go Vols!",,,,1298568759469322240,https://twitter.com/DondePlowman/status/1298568759469322240
2020-08-25 23:34:02,DondePlowman,Ronaldayoung,0,0,20,"Ronald, thanks for the conversation. Great seeing you and thanks for the feedback.",,,,1298403290292596739,https://twitter.com/DondePlowman/status/1298403290292596739
2020-08-25 13:59:59,DondePlowman,,3,2,66,"Hey Vols, I am holding my first office hours of the school year this afternoon from 3-4pm in Hodges Library in Room 258. I look forward to meeting with our students, faculty, and staff to hear thoughts, concerns, & feedback on how we are moving forward together during this time.",,,,1298258825112195075,https://twitter.com/DondePlowman/status/1298258825112195075
2020-08-24 18:26:26,DondePlowman,tntutors,1,5,33,"Thanks for sharing that positive news. Vols Care For Vols!",,,,1297963494487273475,https://twitter.com/DondePlowman/status/1297963494487273475
2020-08-23 20:11:45,DondePlowman,MB18927,0,0,1,"Pandora station Il Divo",,,,1297627611372363777,https://twitter.com/DondePlowman/status/1297627611372363777
2020-08-23 19:39:24,DondePlowman,UTBlackAlumni,1,0,7,"Today I listened to the Pandora station El Divo.",,,,1297619469725061125,https://twitter.com/DondePlowman/status/1297619469725061125
2020-08-23 19:22:48,DondePlowman,,4,3,195,"How beautiful is Knoxville? Grateful to get to take a long walk today with earplugs and great music. The sunshine, the out of doors, the exercise, all good for the soul",,,,1297615292739342338,https://twitter.com/DondePlowman/status/1297615292739342338
2020-08-23 18:01:57,DondePlowman,ehaag,0,0,3,"I see my favorite little guy and a delicious dessert in front of him.",,,,1297594944543170560,https://twitter.com/DondePlowman/status/1297594944543170560
2020-08-22 00:02:43,DondePlowman,Vol_Soccer,1,2,38,"Thanks for letting us drop in and thanks for the conversation. Go Vols.",,,,1296960957382623235,https://twitter.com/DondePlowman/status/1296960957382623235
2020-08-21 23:34:42,DondePlowman,UTKnoxville,0,2,35,"This is beautiful. These are Vols!",,,,1296953906753396737,https://twitter.com/DondePlowman/status/1296953906753396737
2020-08-21 23:23:07,DondePlowman,,1,2,53,"Snuck a picture this afternoon of two different classes under way in Haslam. You can see how many fewer students are in the class due to social distancing. We’re all in this together!",,,,1296950993289187328,https://twitter.com/DondePlowman/status/1296950993289187328
2020-08-21 21:50:00,DondePlowman,cakelley15,0,1,10,"Thanks for what you do to make this true.",,,,1296927558773223424,https://twitter.com/DondePlowman/status/1296927558773223424
2020-08-21 21:42:58,DondePlowman,Vol_VBall,0,0,22,"Thanks for letting me drop in. Go Vols!",,,,1296925788143595521,https://twitter.com/DondePlowman/status/1296925788143595521
2020-08-21 21:40:24,DondePlowman,,1,16,264,"Ended my day meeting first with our soccer team @Vol_Soccer and then our volleyball team @Vol_VBall. Outstanding student athletes in each sport preparing for a season in spite of the many unknowns. I admire their perseverance and competitive spirit. Leaders everywhere. Go Vols.",,@Vol_Soccer @Vol_VBall,,1296925142107533314,https://twitter.com/DondePlowman/status/1296925142107533314
2020-08-21 19:01:37,DondePlowman,,1,3,105,"Loved getting a selfie with these two freshmen this afternoon in the Union, one from Chicago & one from Philadelphia.They came here, they said, because on their campus visit they were made to feel really welcome... “It seemed like a family.” Now they are part of the family",,,,1296885184743313408,https://twitter.com/DondePlowman/status/1296885184743313408
2020-08-21 18:18:13,DondePlowman,lindsayj_hansen,0,1,11,"Lindsay, your entire team did a phenomenal job. Go Vols.",,,,1296874262972825600,https://twitter.com/DondePlowman/status/1296874262972825600
2020-08-21 18:13:30,DondePlowman,,2,0,28,"These are two future Vols and their moms from Nashville getting a Vol Is A Verb t-shirt being handed out by students from Student Life. #GreatToBeATennesseeVol",,,#GreatToBeATennesseeVol,1296873073875066881,https://twitter.com/DondePlowman/status/1296873073875066881
2020-08-21 18:08:02,DondePlowman,,4,7,236,"Meet Justin Lee from Memphis, enjoying the shade, a zoom class, & the beautiful day in his hammock. He politely asked me if he needed to put his mask on. I said “no, you’re by yourself &15 feet away.” That’s how we make this work. #VolsCareForVols",,,#VolsCareForVols,1296871699711954947,https://twitter.com/DondePlowman/status/1296871699711954947
2020-08-21 18:03:25,DondePlowman,,5,6,161,"So much fun being out on campus on a Friday afternoon. Lots of energy in the air.",,,,1296870539269681152,https://twitter.com/DondePlowman/status/1296870539269681152
2020-08-21 18:01:56,DondePlowman,,1,3,40,"Austin Boyd is President of Graduate Student Senate. He dropped by my office to give me the GSS Person of the Year Award for 2019-2020. First time we have been in the same room since Covid hit. Really appreciate Austin’s leadership. Grad students play such imporrant roles.",,,,1296870164705808385,https://twitter.com/DondePlowman/status/1296870164705808385
2020-08-21 16:36:48,DondePlowman,Vol_Sports,0,1,24,"Proud of these two representing us and the entire SEC so well. #LeadershipMatters",,,#LeadershipMatters,1296848739332653056,https://twitter.com/DondePlowman/status/1296848739332653056
2020-08-21 13:43:18,DondePlowman,Gretchen_n,1,3,20,"Gretchen, I love that quote by Brene Brown.",,,,1296805078993641473,https://twitter.com/DondePlowman/status/1296805078993641473
2020-08-20 23:07:58,DondePlowman,,15,59,413,"Vols, today I sent a message to our students regarding social gatherings. It is our time to rise up for Rocky Top and show what we can do as Volunteers to help keep each other safe and healthy. #VolsHelpVols",,,#VolsHelpVols,1296584791295434752,https://twitter.com/DondePlowman/status/1296584791295434752
2020-08-20 20:19:27,DondePlowman,,0,3,73,"I was so glad to have lunch with our @UTKSGA President Karmen Jones at @Yassin_Falafel today. Her leadership is needed now more than ever and I am grateful for her honesty and insight on how our undergraduate students are persevering this fall.",,@UTKSGA @Yassin_Falafel,,1296542385065820160,https://twitter.com/DondePlowman/status/1296542385065820160
2020-08-20 18:22:34,DondePlowman,,24,82,1775,"I drove through campus earlier today and almost every person I saw on campus was wearing their masks. Way to go students. Vols taking care of Vols!",,,,1296512968985845760,https://twitter.com/DondePlowman/status/1296512968985845760
2020-08-20 17:30:21,DondePlowman,UTKnoxville,0,0,20,"Big accolades for all the folks in Student Success and Student Life for their creativity in making Torch Night during a pandemic meaningful and a big success. #CreativityCompassionFlexibility",,,#CreativityCompassionFlexibility,1296499827568783369,https://twitter.com/DondePlowman/status/1296499827568783369
2020-08-20 11:13:51,DondePlowman,,1,15,113,"Start by doing what’s necessary; then do what’s possible; and suddenly you are doing the impossible. - Francis of Assis",,,,1296405080216875012,https://twitter.com/DondePlowman/status/1296405080216875012
2020-08-19 00:11:29,DondePlowman,,3,1,65,"This morning, Councilman Tommy Smith and I toured the Fort Sanders area with members from the mayor’s office, UTPD, Knox Heritage, & local homeowners and landlords. It is an area with a rich history & beautiful homes & I appreciate their time & sharing their experiences with me.",,,,1295875998920126464,https://twitter.com/DondePlowman/status/1295875998920126464
2020-08-18 18:04:56,DondePlowman,ChrisDunkerLJS,0,0,19,"Hey Chris. Glad to see you are back from paternity leave and following “news” in Tennessee. Congratulations on your new family member.",,,,1295783755714646021,https://twitter.com/DondePlowman/status/1295783755714646021
2020-08-18 10:19:59,DondePlowman,,2,13,206,"This is transformational. Haslam family makes another large gift to the Haslam College of Business accelerating even further its trajectory.",,,,1295666748721704960,https://twitter.com/DondePlowman/status/1295666748721704960
2020-08-18 10:10:28,DondePlowman,UTKStudentLife,0,4,58,"Tradition continues. Glow sticks, not candles, and fireworks marked the passing of the Torch of Preparation last night. Each new student received a tassel (for commencement day in 4 years) reminding them of their goal of graduating & becoming a Vol for life. #GoVols",,,#GoVols,1295664351748206592,https://twitter.com/DondePlowman/status/1295664351748206592
2020-08-17 23:12:45,DondePlowman,MarshallRamsey,1,3,76,"Marshall, this is beautiful. Thank you for sharing it. Great to meet you. And thank you for your love of this place.",,,,1295498833208782849,https://twitter.com/DondePlowman/status/1295498833208782849
2020-08-17 22:54:08,DondePlowman,,1,3,18,"Hey New Vols! I hope you join @UTKSGA President Karmen Jones, Class of 2024 representative KJ Malone and I for a virtual Torch Night experience at 8:30 p.m. Check your email &amp; the Vol Life App for more details about tonight’s event! @UTKnoxville",,@UTKSGA @UTKnoxville,,1295494145751093250,https://twitter.com/DondePlowman/status/1295494145751093250
2020-08-17 00:20:07,DondePlowman,volrandy71,1,0,1,"Looks like an area inside the stadium.",,,,1295153395804835841,https://twitter.com/DondePlowman/status/1295153395804835841
2020-08-16 13:00:06,DondePlowman,,0,3,64,"I want to thank all our @UTK_Housing staff for making move-in go so smoothly. Working as a RA during my college days was my first real leadership experience &amp; I might not have become a chancellor without that opportunity. RA’s are so important, this year more than ever.",,@UTK_Housing,,1294982266310008835,https://twitter.com/DondePlowman/status/1294982266310008835
2020-08-16 12:50:36,DondePlowman,,11,10,377,"Our students have been moving in on campus for over a week now. It has been so quiet without our students, the heartbeat of our campus. I was excited to greet them and their parents as they arrived to their dorm and talk with them about how we will have a safe and healthy fall.",,,,1294979874445234177,https://twitter.com/DondePlowman/status/1294979874445234177
2020-08-15 20:51:13,DondePlowman,craigliterary,0,0,3,"Congrats Dr. Obioma!",,,,1294738440358166529,https://twitter.com/DondePlowman/status/1294738440358166529
2020-08-15 20:47:35,DondePlowman,KarenWeekly,0,1,22,"Thanks Karen. What great teams of leaders al over campus who have gotten us to this point.",,,,1294737524754198529,https://twitter.com/DondePlowman/status/1294737524754198529
2020-08-15 13:32:54,DondePlowman,Englishscope24,0,0,46,"We all had a lot of opinions about how to raise children until we had our own:)",,,,1294628134491492353,https://twitter.com/DondePlowman/status/1294628134491492353
2020-08-15 13:20:02,DondePlowman,heatherervinvfl,0,0,11,"I cried, ugly cried, when I moved my first born in. Hard transition. You are happy and sad at the same time.",,,,1294624893892526082,https://twitter.com/DondePlowman/status/1294624893892526082
2020-08-15 11:57:44,DondePlowman,TennesseeTyra,1,1,50,"So glad this happened yesterday so the world can see what we’ve done. Let’s Go Vols! Thanks @TennesseeTyra for making this happen.",,@TennesseeTyra,,1294604182121586698,https://twitter.com/DondePlowman/status/1294604182121586698
2020-08-14 20:21:55,DondePlowman,,0,0,30,"I always enjoy attending the Army ROTC Commissioning Ceremony. The sacrifice these young people make is inspirational. While this year’s ceremony looked quite different with masks and social distancing, I was honored to be there.",,,,1294368675240255488,https://twitter.com/DondePlowman/status/1294368675240255488
2020-08-14 16:40:25,DondePlowman,csferrell1,0,1,3,"Carolyn, thanks so much. Let’s do this! United We Are Stronger. @unitedwayknox @UWBristol",,@unitedwayknox @UWBristol,,1294312933900595204,https://twitter.com/DondePlowman/status/1294312933900595204
2020-08-14 12:08:20,DondePlowman,,6,54,796,"Hey Vols, it’s Big Orange Friday! Vols help Vols and you can do your part by wearing a mask! I am grateful to our VFL Peyton Manning for being a great example by staying safe and showing his Volunteer spirit while he was in town this week! #VolsHelpVols",,,#VolsHelpVols,1294244461980024832,https://twitter.com/DondePlowman/status/1294244461980024832
2020-08-14 10:40:39,DondePlowman,,3,29,464,"When you look around campus you will see something new - hammock stands, 75 of them, ready for Vols to attach a hammock and read, relax, tune into a zoom session and enjoy the beauty of our campus. Thanks to @utkfacserv for all you’ve done to get us ready for the Fall semester.",,@utkfacserv,,1294222395314786304,https://twitter.com/DondePlowman/status/1294222395314786304
2020-08-13 22:56:17,DondePlowman,Kimmhelms,0,0,21,"Thanks Kim. One day at a time. #AllInThisTogether",,,#AllInThisTogether,1294045137815961602,https://twitter.com/DondePlowman/status/1294045137815961602
2020-08-13 18:06:01,DondePlowman,MarshallRamsey,0,0,19,"Marshall, it was great to see you yesterday. Loved seeing the wall of your amazing work.",,,,1293972089410658305,https://twitter.com/DondePlowman/status/1293972089410658305
2020-08-11 18:04:48,DondePlowman,beckerstacey,0,0,3,"Thanks for being in the call today. Great to be with our Nashville alums.",,,,1293247008715800576,https://twitter.com/DondePlowman/status/1293247008715800576
2020-08-10 19:55:15,DondePlowman,,44,273,1921,"This group of student-athletes have worked hard to prepare for the season amidst detailed and strict healthy and safety protocols. I can’t wait to see them on the field in Neyland Stadium.",,,,1292912416246898688,https://twitter.com/DondePlowman/status/1292912416246898688
2020-08-10 19:53:41,DondePlowman,,248,1599,8403,"This afternoon, I met with our football team and staff to have an open conversation about playing football this fall. At the end of our discussion, I asked if they wanted to play football and the answer was a resounding YES.",,,,1292912019071545345,https://twitter.com/DondePlowman/status/1292912019071545345
2020-08-10 12:07:51,DondePlowman,HeyDrShea,0,0,11,"@brenebrown I want to ditto that. Thanks for your work on Courage which inspires me every day. #WillingnessToAct",,@BreneBrown,#WillingnessToAct,1292794788794773506,https://twitter.com/DondePlowman/status/1292794788794773506
2020-08-09 17:29:41,DondePlowman,rickcpd201,0,1,14,"Couldn’t agree more with that description of our Vice Chancellor for Diversity & Engagement, Tyvi Small.",,,,1292513394713649153,https://twitter.com/DondePlowman/status/1292513394713649153
2020-08-09 13:58:09,DondePlowman,UTKnoxville,2,6,107,"Here we go!",,,,1292460158313013249,https://twitter.com/DondePlowman/status/1292460158313013249
2020-08-09 12:26:49,DondePlowman,FastCompany,0,1,10,"Journaling, self compassion, gratitude, hope. This little article contains simple, helpful ideas and links to other resilience practices. #AllInThisTogether",,,#AllInThisTogether,1292437175645212673,https://twitter.com/DondePlowman/status/1292437175645212673
2020-08-08 15:28:52,DondePlowman,,4,10,116,"Eight. 8 MILES of vinyl has been used to print all of the signage on campus to provide reminders to wear your mask, wash your hands, and stand socially distanced at six feet apart. The effort to prepare our campus for our students to return has been incredibly detail oriented.",,,,1292120601449107458,https://twitter.com/DondePlowman/status/1292120601449107458
2020-08-07 20:02:53,DondePlowman,utkfacserv,0,1,15,"You all continue to lead in what it means to be a Volunteer. Thanks to the entire Facilities team for all you do every day. #AllInThisTogether",,,#AllInThisTogether,1291827173888798722,https://twitter.com/DondePlowman/status/1291827173888798722
2020-08-07 14:58:13,DondePlowman,,1,0,27,"Thank you to Vernon, one of our facilities services staff members who provided assistance on our tour today. I appreciate what he and all our facilities services staff have done to help welcome our students back.",,,,1291750498270351361,https://twitter.com/DondePlowman/status/1291750498270351361
2020-08-07 14:52:20,DondePlowman,,1,1,29,"Our campus has been quiet over the past few months. It was energizing to see staff on campus and hear their thoughts on our response. We are all in this together and will persevere - together.",,,,1291749020768129026,https://twitter.com/DondePlowman/status/1291749020768129026
2020-08-07 14:49:19,DondePlowman,,1,3,66,"This year’s preparations for our students to return has been unprecedented.I took a tour today with Provost Dr. John Zomchick & Dean Steve Smith, who has overseen our plans for the fall.I viewed classroom setups, signage, how faculty will teach with our upgraded technology, etc.",,,,1291748258621075457,https://twitter.com/DondePlowman/status/1291748258621075457
2020-08-06 21:56:43,DondePlowman,mikekrauseTN,1,0,15,"Oh and the pimento cheese.....",,,,1291493433140547584,https://twitter.com/DondePlowman/status/1291493433140547584
2020-08-06 16:53:07,DondePlowman,mikekrauseTN,0,1,13,"Mike, thanks for your leadership today as we work together. Glad you could recharge with a burger from an East Tennessee favorite before heading back to Nashville. Stay safe!",,,,1291417029996695553,https://twitter.com/DondePlowman/status/1291417029996695553
2020-08-06 15:49:56,DondePlowman,,0,0,21,"Our campus leadership along with Knox County Health officials just finished a tabletop exercise with THEC and TEMA on Covid-19 scenarios & protocols. Our challenge is unprecedented as is the campus wide effort that continues as we plan for the return of students back to campus.",,,,1291401126236037122,https://twitter.com/DondePlowman/status/1291401126236037122
2020-08-06 11:20:50,DondePlowman,,0,0,35,"Impressed with the leaders of all our Greek chapters that I met with last night along with @HeyDrShea &amp; @cuevas_dr. We will partner to encourage safe practices and a healthy campus this fall. We need their leadership now as much as ever. Vols Help Vols! #WillingnessToAct",,@HeyDrShea @cuevas_dr,#WillingnessToAct,1291333406840754177,https://twitter.com/DondePlowman/status/1291333406840754177
2020-08-06 02:01:56,DondePlowman,,0,1,54,"The new way we have meetings......masks & distance. This virus is serious and we all have to do our part to stay safe while doing our work. Go Vols!",,,,1291192755025317888,https://twitter.com/DondePlowman/status/1291192755025317888
2020-08-05 11:18:21,DondePlowman,,0,10,82,"“Hardships often prepare ordinary people for an extraordinary destiny.” (C.S. Lewis) Great thought for starting this day. Go Vols!",,,,1290970393889501188,https://twitter.com/DondePlowman/status/1290970393889501188
2020-08-04 22:34:27,DondePlowman,,0,0,14,"Could not be happier about this appointment of Laurie Bellows as permanent Vice Chancellor of Student Affairs at UNL. Laurie is a real thought leader, an innovator. This is great news for UNL.",,,,1290778150268538886,https://twitter.com/DondePlowman/status/1290778150268538886
2020-08-04 19:01:36,DondePlowman,,2,1,31,"Here you go @KC4UTM. Proud to be in this group with Chancellor Keith Carver of UT Martin &amp; my former Nebraska boss @RonnieDGreen.",,@KC4UTM @RonnieDGreen,,1290724586514984963,https://twitter.com/DondePlowman/status/1290724586514984963
2020-08-04 17:05:13,DondePlowman,,0,3,40,"Had a great meeting with @MayorKincannon @GlennJacobsTN @knoxchamber @UT_President and our teams. I am excited for the coordinated effort we have put together to welcome our students back to Knoxville in a safe way. #AllInThisTogether",,@MayorKincannon @GlennJacobsTN @knoxchamber @UT_President,#AllInThisTogether,1290695297652465671,https://twitter.com/DondePlowman/status/1290695297652465671
2020-08-03 22:34:45,DondePlowman,,1,0,52,"Thrilled to start the week off by welcoming Deborah Crawford, our new vice chancellor for research, to the team during our cabinet meeting this morning! Join me in welcoming her!",,,,1290415838584070144,https://twitter.com/DondePlowman/status/1290415838584070144
2020-07-31 10:44:09,DondePlowman,DrHoy480,0,1,16,"Mariea, thanks for volunteering.",,,,1289149846121848835,https://twitter.com/DondePlowman/status/1289149846121848835
2020-07-31 00:53:18,DondePlowman,,6,6,233,"Today I got to help assemble wellness kits for our students, faculty, and staff that will have a face mask, gaitor, and a thermometer. I am looking forward to welcoming our Volunteer community back in a safe and healthy way!",,,,1289001155239043072,https://twitter.com/DondePlowman/status/1289001155239043072
2020-07-30 23:37:56,DondePlowman,NebraskaBiz,0,0,4,"Totally agree with that! Way to go, Deb.",,,,1288982186692157442,https://twitter.com/DondePlowman/status/1288982186692157442
2020-07-30 23:21:03,DondePlowman,,0,6,67,"Volunteers, we will all step up and do this. A new normal on Rocky Top awaits us.",,,,1288977939946713090,https://twitter.com/DondePlowman/status/1288977939946713090
2020-07-30 22:19:58,DondePlowman,josieahlquist,0,0,4,"Thank you Dr Ahlquist @josieahlquist.",,@josieahlquist,,1288962565519876099,https://twitter.com/DondePlowman/status/1288962565519876099
2020-07-30 20:29:13,DondePlowman,KC4UTM,1,0,8,"Love being in your company, Keith.",,,,1288934696022310913,https://twitter.com/DondePlowman/status/1288934696022310913
2020-07-30 14:23:16,DondePlowman,mwmvol76,0,0,10,"Mary thanks for volunteering. This will take all of us!",,,,1288842600863150081,https://twitter.com/DondePlowman/status/1288842600863150081
2020-07-30 10:42:24,DondePlowman,,1,3,73,"We have been preparing for months getting ready for our new normal. Let’s do this Vols!",,,,1288787019691446272,https://twitter.com/DondePlowman/status/1288787019691446272
2020-07-25 11:17:34,DondePlowman,,1,14,70,"If you have not watched this tribute by our Alumni Band stop what you are doing and listen now. It will bring a smile to your face, a skip in your step, and a reminder that we will get through this. Go Vols!",,,,1286983928541323265,https://twitter.com/DondePlowman/status/1286983928541323265
2020-07-24 14:22:07,DondePlowman,UTKnoxville,3,3,38,"Important update for future Vols!",,,,1286667985353166850,https://twitter.com/DondePlowman/status/1286667985353166850
2020-07-24 11:16:27,DondePlowman,iameashleysmith,0,0,6,"Thanks Ashley. And congrats to you on your new role. So happy to have you as part of the leadership team.",,,,1286621260479451138,https://twitter.com/DondePlowman/status/1286621260479451138
2020-07-23 22:41:07,DondePlowman,TomSatkowiak,0,1,74,"Hey Tom. Thanks. I like being thought of as a “homey.” Looking forward to this opportunity. Go Vols!",,,,1286431174529867782,https://twitter.com/DondePlowman/status/1286431174529867782
2020-07-23 15:45:24,DondePlowman,tennalum,9,13,346,"I’m honored that my SEC colleagues selected me for this role and I look forward to the work ahead.",,,,1286326556709855233,https://twitter.com/DondePlowman/status/1286326556709855233
